Year,Month,Advertisement,3 Weeks Before,2 Weeks Before,1 Week Before,Letting Week,Total,Advertisement %,3 Weeks Before %,2 Weeks Before %,1 Week Before %,Letting Week %,Total %
2019,June,0,0,9,2,0,11,0%,0%,82%,18%,0%,100%
2019,July,0,0,8,9,4,21,0%,0%,38%,43%,19%,100%
2019,August,,,,,,,,,,,,
2019,September,0,0,3,12,4,19,0%,0%,16%,63%,21%,100%
2019,October,,,,,,,,,,,,
2019,November,0,1,5,10,0,16,0%,6%,31%,63%,0%,100%
2019,December,,,,,,,,,,,,
2020,January,0,0,5,36,0,41,0%,0%,12%,88%,0%,100%
2020,February,0,0,2,32,7,41,0%,0%,5%,78%,17%,100%
2020,March,,,,,,,,,,,,
2020,April,0,0,52,12,3,67,0%,0%,78%,18%,4%,100%
2020,May,0,7,11,18,12,48,0%,15%,23%,38%,25%,100%
2020,June,0,7,11,11,4,33,0%,21%,33%,33%,12%,100%
2020,July,,,,,,,,,,,,
2020,August,0,3,2,10,5,20,0%,15%,10%,50%,25%,100%
2020,September,0,5,6,7,6,24,0%,21%,25%,29%,25%,100%
2020,October,,,,,,,,,,,,
2020,November,0,9,8,18,1,36,0%,25%,22%,50%,3%,100%
2020,December,,,,,,,,,,,,
2021,January,0,0,0,25,4,29,0%,0%,0%,86%,14%,100%
2021,February,0,0,3,5,5,13,0%,0%,23%,38%,38%,100%
2021,March,,,,,,,,,,,,
2021,April,0,59,4,12,4,79,0%,75%,5%,15%,5%,100%
2021,May,0,0,7,9,4,20,0%,0%,35%,45%,20%,100%
2021,June,2,1,65,10,5,83,2%,1%,78%,12%,6%,100%
2021,July,,,,,,,,,,,,
2021,August,0,0,1,3,2,6,0%,0%,17%,50%,33%,100%
2021,September,0,0,1,3,3,7,0%,0%,14%,43%,43%,100%
2021,October,,,,,,,,,,,,
2021,November,0,0,2,2,4,8,0%,0%,25%,25%,50%,100%
2021,December,,,,,,,,,,,,
2022,January,1,2,0,21,11,35,3%,6%,0%,60%,31%,100%
2022,February,1,7,6,25,22,61,2%,11%,10%,41%,36%,100%
2022,March,,,,,,,,,,,,
2022,April,0,8,2,18,14,42,0%,19%,5%,43%,33%,100%
2022,May,0,2,12,15,2,31,0%,6%,39%,48%,6%,100%
2022,June,0,0,4,13,3,20,0%,0%,20%,65%,15%,100%
2022,July,,,,,,,,,,,,
2022,August,0,0,4,6,0,10,0%,0%,40%,60%,0%,100%
2022,September,0,10,1,10,6,27,0%,37%,4%,37%,22%,100%
2022,October,,,,,,,,,,,,
2022,November,0,0,1,15,7,23,0%,0%,4%,65%,30%,100%
2022,December,,,,,,,,,,,,
2023,January,0,0,0,14,8,22,0%,0%,0%,64%,36%,100%
2023,February,,,,,,,,,,,,
2023,March,4,6,15,19,4,48,8%,13%,31%,40%,8%,100%
2023,April,0,0,0,27,3,30,0%,0%,0%,90%,10%,100%
2023,May,1,1,3,8,2,15,7%,7%,20%,53%,13%,100%
2023,June,0,0,2,2,1,5,0%,0%,40%,40%,20%,100%
2023,July,,,,,,,,,,,,
2023,August,0,1,0,2,0,3,0%,33%,0%,67%,0%,100%
2023,September,0,0,0,9,3,12,0%,0%,0%,75%,25%,100%
2023,October,,,,,,,,,,,,
2023,November,3,7,13,32,6,61,5%,11%,21%,52%,10%,100%
2023,December,,,,,,,,,,,,
2024,January,1,7,8,12,2,30,3%,23%,27%,40%,7%,100%
2024,February,0,18,5,6,3,32,0%,56%,16%,19%,9%,100%
2024,March,,,,,,,,,,,,
2024,April,0,0,3,3,0,6,0%,0%,50%,50%,0%,100%
2024,May,0,4,1,5,1,11,0%,36%,9%,45%,9%,100%
2024,June,0,0,6,4,0,10,0%,0%,60%,40%,0%,100%
2024,July,0,1,2,5,1,9,0%,11%,22%,56%,11%,100%
2024,August,,,,,,,,,,,,
2024,September,0,7,5,14,0,26,0%,27%,19%,54%,0%,100%
2024,October,,,,,,,,,,,,
2024,November,6,2,0,13,4,25,24%,8%,0%,52%,16%,100%
2024,December,,,,,,,,,,,,
2025,January,0,0,3,22,0,25,0%,0%,12%,88%,0%,100%
2025,February,0,5,2,3,2,12,0%,42%,17%,25%,17%,100%
2025,March,,,,,,,,,,,,
2025,April,0,3,1,6,0,10,0%,30%,10%,60%,0%,100%
2025,May,0,2,4,3,2,11,0%,18%,36%,27%,18%,100%
2025,June,0,0,0,2,2,4,0%,0%,0%,50%,50%,100%
2025,July,,,,,,,,,,,,
2025,August,2,1,0,4,0,7,29%,14%,0%,57%,0%,100%
2025,September,0,2,3,1,2,8,0%,25%,38%,13%,25%,100%
2025,October,,,,,,,,,,,,
2025,November,1,3,9,14,7,34,3%,9%,26%,41%,21%,100%
2025,December,,,,,,,,,,,,
2026,January,4,0,22,26,2,54,7%,0%,41%,48%,4%,100%
