Year,Month,Advertisement,3 Weeks Before,2 Weeks Before,1 Week Before,Letting Week,Total,Advertisement %,3 Weeks Before %,2 Weeks Before %,1 Week Before %,Letting Week %,Total %
2022,January,,,,,,,,,,,,
2022,February,,,,,,,,,,,,
2022,March,,,,,,,,,,,,
2022,April,1,8,0,6,2,17,6%,47%,0%,35%,12%,100%
2022,May,0,0,10,4,0,14,0%,0%,71%,29%,0%,100%
2022,June,0,0,2,0,0,2,0%,0%,100%,0%,0%,100%
2022,July,,,,,,,,,,,,
2022,August,0,0,0,0,0,0,,,,,,
2022,September,0,0,0,0,0,0,,,,,,
2022,October,,,,,,,,,,,,
2022,November,0,0,0,1,0,1,0%,0%,0%,100%,0%,100%
2022,December,,,,,,,,,,,,
2023,January,0,2,0,3,3,8,0%,25%,0%,38%,38%,100%
2023,February,,,,,,,,,,,,
2023,March,1,2,1,3,1,8,13%,25%,13%,38%,13%,100%
2023,April,0,0,8,2,0,10,0%,0%,80%,20%,0%,100%
2023,May,3,1,0,0,1,5,60%,20%,0%,0%,20%,100%
2023,June,0,0,0,0,0,0,,,,,,
2023,July,,,,,,,,,,,,
2023,August,1,0,0,0,0,1,100%,0%,0%,0%,0%,100%
2023,September,0,0,0,0,0,0,,,,,,
2023,October,,,,,,,,,,,,
2023,November,0,1,1,0,0,2,0%,50%,50%,0%,0%,100%
2023,December,,,,,,0,,,,,,
2024,January,0,4,1,0,1,6,0%,67%,17%,0%,17%,100%
2024,February,0,9,6,2,2,19,0%,47%,32%,11%,11%,100%
2024,March,,,,,,,,,,,,
2024,April,0,1,0,1,0,2,0%,50%,0%,50%,0%,100%
2024,May,0,0,0,0,0,0,,,,,,
2024,June,0,0,0,0,0,0,,,,,,
2024,July,0,0,0,0,0,0,,,,,,
2024,August,,,,,,,,,,,,
2024,September,0,0,0,1,0,1,0%,0%,0%,100%,0%,100%
2024,October,,,,,,,,,,,,
2024,November,,,,,,,,,,,,
2024,December,,,,,,,,,,,,
2025,January,0,0,8,1,2,11,0%,0%,73%,9%,18%,100%
2025,February,0,0,0,0,0,0,,,,,,
2025,March,,,,,,,,,,,,
2025,April,0,1,2,0,0,3,0%,33%,67%,0%,0%,100%
2025,May,0,2,0,2,0,4,0%,50%,0%,50%,0%,100%
2025,June,0,0,0,0,0,0,,,,,,
2025,July,,,,,,,,,,,,
2025,August,0,0,0,4,0,4,0%,0%,0%,100%,0%,100%
2025,September,0,1,0,0,0,1,0%,100%,0%,0%,0%,100%
2025,October,,,,,,,,,,,,
2025,November,,,,,,,,,,,,
2025,December,,,,,,,,,,,,
