Year,Month,% Received Before Plan Due Date,% Received After Due Date,% Received After Advertisement,Unknown Arrival,Total Files Received,1-2 Weeks Early,0-1 Week Early,On Due Date,0-1 Week Late,1-2 Week(s) Late,,
2010,January,64.71%,35.29%,0.00%,0.00%,17,,,,,,,
2010,February,,,,,,,,,,,,
2010,March,92.31%,7.69%,0.00%,0.00%,13,,,,,,,
2010,April,95.83%,4.17%,0.00%,0.00%,24,,,,,,,
2010,May,,,,,,,,,,,,
2010,June,90.74%,9.26%,0.00%,0.00%,54,,,,,,,
2010,July,100.00%,0.00%,0.00%,0.00%,6,,,,,,,
2010,August,44.44%,38.89%,0.00%,16.67%,18,,,,,,,
2010,September,52.94%,47.06%,0.00%,0.00%,17,,,,,,,
2010,October,,,,,,,,,,,,
2010,November,100.00%,0.00%,0.00%,0.00%,11,,,,,,,
2010,December,,,,,,,,,,,,
2011,January,70.00%,30.00%,0.00%,0.00%,10,,,,,,,
2011,February,70.00%,20.00%,0.00%,10.00%,10,,,,,,,
2011,March,,,,,,,,,,,,
2011,April,62.00%,38.00%,0.00%,0.00%,50,,,,,,,
2011,May,,,,,,,,,,,,
2011,June,44.74%,55.26%,0.00%,0.00%,38,,,,,,,
2011,July,18.75%,81.25%,0.00%,0.00%,16,,,,,,,
2011,August,,,,,,,,,,,,
2011,September,46.67%,53.33%,0.00%,0.00%,15,,,,,,,
2011,October,80.00%,20.00%,0.00%,0.00%,15,,,,,,,
2011,November,,,,,,,,,,,,
2011,December,92.31%,0.00%,7.69%,0.00%,13,,,,,,,
2012,January,,,,,,,,,,,,
2012,February,70.00%,30.00%,0.00%,0.00%,10,,,,,,,
2012,March,14.29%,85.71%,0.00%,0.00%,42,,,,,,,
2012,April,,,,,,,,,,,,
2012,May,90.70%,9.30%,0.00%,0.00%,43,,,,,,,
2012,June,25.00%,75.00%,0.00%,0.00%,16,,,,,,,
2012,July,76.92%,23.08%,0.00%,0.00%,13,,,,,,,
2012,August,,,,,,,,,,,,
2012,September,62.50%,37.50%,0.00%,0.00%,8,,,,,,,
2012,October,100.00%,0.00%,0.00%,0.00%,9,,,,,,,
2012,November,61.54%,38.46%,0.00%,0.00%,13,,,,,,,
2012,December,,,,,,,,,,,,
2013,January,75.00%,25.00%,0.00%,0.00%,8,,,,,,,
2013,February,57.14%,42.86%,0.00%,0.00%,7,,,,,,,
2013,March,,,,,,,,,,,,
